Code,p233,p254,p271,p272,p306,p313,exp1,exp2,exp3,exp4,exp5,exp6,exp7,exp8,exp9,pte1,pte2,pte3,pte4,pte5,pte6,pte7,pte8,pte9,pte10,pte11,pte12,pte13,pte14,pte15,pte16,pte17,pte18,pte19,pte20,pte21,pte22,pte23,pte24
D1,1,1,0,0,0,0,15045.0495,14561.08374,15395.26316,20779.90868,20190.09901,19663.76812,19912.2807,21116.66667,23824.63054,,,,,,,,,,,,,,,,,,,,,,,,0
D2,0,1,1,0,0,0,6645.5,5771.966527,6770.157068,10556.86275,8434.567901,9228.140704,9622.018349,9776.923077,10341.41414,,,,,,,,,,,,,,,,,,,,,,,,0
D3,0,1,0,1,0,0,15379.11111,15640.8867,17757.86802,24320,23005.94059,23500.5291,21187.03704,23979.79798,23868.85246,,,,,,,,,,,,,,,,,,,,,,,,0
D4,0,1,0,0,1,0,7096.728972,7527.981651,7721.965318,10530.31674,10759.49367,11618.27411,10504,12739.39394,12716.48352,,,,,,,,,,,,,,,,,,,,,,,,0
D5,1,1,1,0,0,0,3853.947368,3226.818182,3761.538462,5462.559775,4546.317204,5727.017544,5719.906977,4904.909091,5798.269231,,,,,,,,,,,,,,,,,,,,,,,,0
D6,1,1,0,1,0,0,12508.4507,10840.57377,12586.85714,17046.31293,15940.02469,17240.50078,17996.26667,15832.91339,18989.44162,,,,,,,,,,,,,,,,,,,,,,,,0
D7,1,1,0,0,1,0,257.3829787,280.3846154,279.2475728,384.1728395,475.8263305,468.2539683,443.0088496,496.6511628,527.6785714,,,,,,,,,,,,,,,,,,,,,,,,0
D8,0,1,1,1,0,0,6473.325792,5773.716216,5872.683486,8946.236559,9345.895317,8706.429513,9430.630631,9867.305936,9759.650655,,,,,,,,,,,,,,,,,,,,,,,,0
D9,0,1,1,0,1,0,1578.819095,1716.306533,1750.780347,2356.129944,2184.919942,2089.259259,2256.126126,2448.076923,2057.843137,,,,,,,,,,,,,,,,,,,,,,,,0
D10,0,1,0,1,1,0,5015.921053,5407.5,4805.44335,7430.073421,6191.717949,6264.310078,7745.050505,7534.829268,6187.918367,,,,,,,,,,,,,,,,,,,,,,,,0
D11,1,1,1,1,0,0,1831.205128,2047.411348,1605.046512,1538.267544,1355.225532,1540.504854,1573.654514,1485.284685,1221.968794,,,,,,,,,,,,,,,,,,,,,,,,0
D12,1,1,1,0,1,0,1010.875706,948.7908497,850.4726368,1610.182421,1365.220126,1268.606702,1727.333333,1433.588517,1322.869955,,,,,,,,,,,,,,,,,,,,,,,,0
D13,1,1,0,1,1,0,208.3415842,223.4242424,202.3011364,0,314.047619,328.477842,386.6666667,343.6018957,355.4455446,,,,,,,,,,,,,,,,,,,,,,,,0
D14,0,1,1,1,1,0,1494.893048,1599.054878,1390.376884,2343.76947,2177.671033,2097.521815,2309.393939,2065.866667,2068.878505,,,,,,,,,,,,,,,,,,,,,,,,0
D15,1,1,1,1,1,0,567.1933962,629.6910112,580.5384615,901.6531165,865.2645503,854.9593496,1035.614035,1005.106383,992.8070175,,,,,,,,,,,,,,,,,,,,,,,,0
D16,0,1,0,0,0,0,16341.15044,13639.91228,19767.03911,14280.78431,12602.8169,12681.81818,16677.05628,13975.80645,13450.21277,,,,,,,,,,,,,,,,,,,,,,,,0
E1,1,0,0,0,0,1,5299.779412,5919.36747,5445.970588,7332.380952,7244.491979,7421.846154,6911.004785,6380.824742,7883.005181,,,,,,,,,,,,,,,,,,,,,,,,0
E2,0,0,1,0,0,1,1681.769663,1648.575758,1562.936508,1787.884615,1915.842697,1862.200957,1833.140097,1824.545455,1907.54902,,,,,,,,,,,,,,,,,,,,,,,,0
E3,0,0,0,1,0,1,54695.03546,47278.67495,49445.13458,52105.72687,48605.02513,51869.85646,55412.97935,51655.61905,64618.30743,,,,,,,,,,,,,,,,,,,,,,,,0
E4,0,0,0,0,1,1,129.7554348,126.8910256,136.9047619,148.3018868,125.8285714,130.6161137,125.0691244,128.3636364,141.3824885,,,,,,,,,,,,,,,,,,,,,,,,0
E5,1,0,1,0,0,1,1862.252475,1640.08982,1617.392473,1979.118943,1887.282609,1783.173077,2040.896861,2071.976744,1910.377358,,,,,,,,,,,,,,,,,,,,,,,,0
E6,1,0,0,1,0,1,3817.861111,3093.026316,3320.856354,3922.293578,3655.825243,3845.514019,3911.694915,3968.877551,4205.178571,,,,,,,,,,,,,,,,,,,,,,,,0
E7,1,0,0,0,1,1,0,47.13157895,54.94413408,0,0,42.6095679,0,41.22383253,28.65497076,,,,,,,,,,,,,,,,,,,,,,,,0
E8,0,0,1,1,0,1,2179.881517,1780.513393,0,2705.477178,2186.333333,0,2259.253731,2109.42623,0,,,,,,,,,,,,,,,,,,,,,,,,0
E9,0,0,1,0,1,1,257.1646341,210.5693069,228.6968085,278.974359,242.4074074,246.5740741,256.3106796,251.8181818,229.7674419,,,,,,,,,,,,,,,,,,,,,,,,0
E10,0,0,0,1,1,1,159.6327684,157.4365482,155.672043,152.3502304,147.1615721,136.5938865,154.9514563,137.8571429,133.9534884,,,,,,,,,,,,,,,,,,,,,,,,0
E11,1,0,1,1,0,1,1498.416667,1350.449735,1371.295181,1941.958763,1686.636364,1718.282828,2166.55914,1677.238095,1539.794872,,,,,,,,,,,,,,,,,,,,,,,,0
E12,1,0,1,0,1,1,50.19886364,61.54450262,45.95588235,47.30359937,50.14126984,47.37967115,47.89201878,48.87677725,47.99103139,,,,,,,,,,,,,,,,,,,,,,,,0
E13,1,0,0,1,1,1,1264.811828,1126.707317,1265.576923,951.562963,979.6360856,951.0861789,890.7285068,878.5884956,973.1631579,,,,,,,,,,,,,,,,,,,,,,,,0
E14,0,0,1,1,1,1,124.2894737,120.8959538,122.1067416,104.6984848,93.71403509,85.20310078,96.16814159,86.12621359,80.30493274,,,,,,,,,,,,,,,,,,,,,,,,0
E15,1,0,1,1,1,1,36.94594595,32.10674157,34.65317919,34.7741433,27.319933,30.55177994,34.07655502,26.87192118,36.25925926,,,,,,,,,,,,,,,,,,,,,,,,0
E16,0,0,0,0,0,1,32915.37133,28342.47039,27964.91228,33828.82883,32591.30435,27281.01266,36344.19971,33477.98742,28315.30055,,,,,,,,,,,,,,,,,,,,,,,,0
F1,1,0,0,0,0,0,23667.54386,21271.22153,22943.65591,25473.29193,21230.33175,25770.76023,24061.21593,24683.42059,26301.96078,,,,,,,,,,,,,,,,,,,,,,,,0
F2,0,0,1,0,0,0,1997.349727,2121.354167,2009.237805,2449.08046,2657.380952,2300.537634,2270.714286,2565.380117,2503.668639,,,,,,,,,,,,,,,,,,,,,,,,0
F3,0,0,0,1,0,0,102235.6394,98741.29979,97495.88015,113969.0476,110025.5319,94219.90521,110323.8095,130548.2309,118738.8316,,,,,,,,,,,,,,,,,,,,,,,,0
F4,0,0,0,0,1,0,408.6684783,355.8092486,416.7119565,493.8202247,447.9802956,433.490566,491.0059172,515.0549451,471.1,,,,,,,,,,,,,,,,,,,,,,,,0
F5,1,0,1,0,0,0,2068.633333,1844.754601,1790.942857,2085.978261,2048.087432,2005.454545,2056.860465,2217.225434,2104.329897,,,,,,,,,,,,,,,,,,,,,,,,0
F6,1,0,0,1,0,0,18619.69697,18167.92793,17204.98442,20022.64151,19705.76923,17210.85973,16348.96332,21791.36442,19301.5015,,,,,,,,,,,,,,,,,,,,,,,,0
F7,1,0,0,0,1,0,100.0847458,79.24870466,87.9494382,74.42628205,64.16589147,56.98803419,84.72727273,66.08333333,70.56410256,,,,,,,,,,,,,,,,,,,,,,,,0
F8,0,0,1,1,0,0,2972.296512,2945.282486,2900.706806,3163.251232,3322.211055,3340.1,2938.285714,3439.59799,3267.596154,,,,,,,,,,,,,,,,,,,,,,,,0
F9,0,0,1,0,1,0,239.4590164,212.8782051,0,360.1722846,286.5282332,0,284.9065934,256.7287234,0,,,,,,,,,,,,,,,,,,,,,,,,0
F10,0,0,0,1,1,0,313.0769231,312.1893939,0,404.4122288,380.5486891,0,396.689441,365.7426901,0,,,,,,,,,,,,,,,,,,,,,,,,0
F11,1,0,1,1,0,0,2512.5,1908.786765,0,1779.045635,1426.638095,0,1795.656442,1414.933333,0,,,,,,,,,,,,,,,,,,,,,,,,0
F12,1,0,1,0,1,0,95.93264249,90.21875,0,73.21095008,68.51320132,0,65.54066986,66.859375,0,,,,,,,,,,,,,,,,,,,,,,,,0
F13,1,0,0,1,1,0,110.3672316,108.6363636,0,90.26072607,82.45345345,0,86.96907216,83.98550725,0,,,,,,,,,,,,,,,,,,,,,,,,0
F14,0,0,1,1,1,0,138.1927083,93.57142857,0,172.883792,123.4309309,0,153.2687225,121.3209302,0,,,,,,,,,,,,,,,,,,,,,,,,0
F15,1,0,1,1,1,0,64.12921348,57.08092486,0,50.79725086,46.91975309,0,48.665,47.81308411,0,,,,,,,,,,,,,,,,,,,,,,,,0
F16,0,0,0,0,0,0,71614.1844,80501.62602,0,86225.35211,89335.92233,0,92639.18129,94647.24919,0,82003.97727,75320.1005,69375.89744,86421.78771,84413.33333,93740.03724,93647.7842,96258.98778,116233.526,93015.70681,77818.53659,84754.54545,87735.67251,85294.11765,84210.62802,87968.80734,111629.703,91880.37383,67019.29825,82648.51064,97118.93939,89587.65432,90450.15291,88875.36232
B1,1,1,0,0,0,1,11478.18182,11651.21951,0,0,14991.46919,0,18197.64706,18088.88889,0,,,,,,,,,,,,,,,,,,,,,,,,0
B2,0,1,1,0,0,1,5139.375,4343.258427,0,6024.365482,5165.876777,0,6434.408602,5610.25641,0,,,,,,,,,,,,,,,,,,,,,,,,0
B3,0,1,0,1,0,1,29476.33136,28624.43182,0,30885.27919,29673.87387,0,37660.37736,38982.97872,0,,,,,,,,,,,,,,,,,,,,,,,,0
B4,0,1,0,0,1,1,2052.197802,1993.193717,0,2939.215686,2671.794872,0,2810.25641,2908.737864,0,,,,,,,,,,,,,,,,,,,,,,,,0
B5,1,1,1,0,0,1,2990.640394,2668.306011,0,5169.230769,4403.636364,0,4879.620853,4777.889447,0,,,,,,,,,,,,,,,,,,,,,,,,0
B6,1,1,0,1,0,1,11115.81921,10044.84536,0,17853.26633,15603.52423,0,17610.6383,16401.93237,0,,,,,,,,,,,,,,,,,,,,,,,,0
B7,1,1,0,0,1,1,0,29.98787879,0,17.99093656,15.39830508,0,28.07304527,18.13605442,0,,,,,,,,,,,,,,,,,,,,,,,,0
B8,0,1,1,1,0,1,3888.516746,3445.701357,0,5906.382979,5089.711934,0,4856.338028,5625.925926,0,,,,,,,,,,,,,,,,,,,,,,,,0
B9,0,1,1,0,1,1,1500,1208.333333,1422.767857,1617.64526,1354.08046,1496.323731,1661.827411,1407.522936,1557.788018,,,,,,,,,,,,,,,,,,,,,,,,0
B10,0,1,0,1,1,1,2993.854749,2764.473684,2526,3403.615257,3094.965422,3028.028986,3652.513966,3188.898678,3596.666667,,,,,,,,,,,,,,,,,,,,,,,,0
B11,1,1,1,1,0,1,1460.795455,1043.80531,1195.852535,1529.934641,1440.77135,1583.405483,2152.941176,1550.138249,1760.38835,,,,,,,,,,,,,,,,,,,,,,,,0
B12,1,1,1,0,1,1,280.3370787,293.1192661,287.7729258,490.052356,385.5421687,290.625,361.871345,324.2424242,228.1278539,,,,,,,,,,,,,,,,,,,,,,,,0
B13,1,1,0,1,1,1,48.61413043,42.65909091,46.4254386,64.81818182,52.14901961,39.22053232,59.3151184,56.57361111,53.93049645,,,,,,,,,,,,,,,,,,,,,,,,0
B14,0,1,1,1,1,1,671.7724868,681.1029412,679.4130435,965.0314465,957.4767596,964.3669251,1156.489362,952.1052632,1079.823009,,,,,,,,,,,,,,,,,,,,,,,,0
B15,1,1,1,1,1,1,53.12807882,56.41463415,64.35960591,78.18723404,57.91949153,69.14754098,90.23252033,83.52403101,92.79109063,,,,,,,,,,,,,,,,,,,,,,,,0
B16,0,1,0,0,0,1,18440.625,18795.89041,21888.61386,16474.79675,15252.10084,15002.39044,17072.64574,15285.95041,15699.1453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
