Code,p233,p254,p271,p272,p306,p313,exp1,exp2,exp3,exp4,exp5,exp6,exp7,exp8,exp9,pte1,pte2,pte3,pte4,pte5,pte6,pte7,pte8,pte9,pte10,pte11,pte12,pte13,pte14,pte15,pte16,pte17,pte18,pte19,pte20,pte21,pte22,pte23,pte24
D1,1,1,0,0,0,0,2415.990099,2206.650246,2504.368421,4184.931507,4484.554455,4364.541063,4287.324561,4021.527778,4775.221675,,,,,,,,,,,,,,,,,,,,,,,,0
D2,0,1,1,0,0,0,633.95,516.7782427,560.052356,1073.627451,888.3950617,945.2261307,1172.431193,1067.932692,1074.79798,,,,,,,,,,,,,,,,,,,,,,,,0
D3,0,1,0,1,0,0,2489.377778,2540.147783,3003.19797,4657.52381,4550.891089,4587.089947,4995.787037,4711.767677,4987.923497,,,,,,,,,,,,,,,,,,,,,,,,0
D4,0,1,0,0,1,0,1660.140187,2061.972477,2385.953757,3739.095023,3821.012658,4138.172589,4231.85,4514.79798,4330.164835,,,,,,,,,,,,,,,,,,,,,,,,0
D5,1,1,1,0,0,0,333.9912281,506.1363636,288.1538462,1584.135021,1342.903226,1593.014354,1654.372093,1590.409091,1555.240385,,,,,,,,,,,,,,,,,,,,,,,,0
D6,1,1,0,1,0,0,1217.699531,1258.237705,1641.542857,2879.183673,2859.481481,3287.511737,3222.622222,2640.354331,3269.492386,,,,,,,,,,,,,,,,,,,,,,,,0
D7,1,1,0,0,1,0,368.893617,807.8280543,738.6893204,1383.037037,1601.344538,1608.744589,1533.584071,1854.930233,1588.616071,,,,,,,,,,,,,,,,,,,,,,,,0
D8,0,1,1,1,0,0,161.040724,209.6846847,366.0091743,508.7096774,502.5619835,510.0395257,776.1711712,706.803653,606.419214,,,,,,,,,,,,,,,,,,,,,,,,0
D9,0,1,1,0,1,0,292.2060302,319.040201,294.0404624,443.6091102,378.680131,488.6541667,548.3795045,543.5012019,516.192402,,,,,,,,,,,,,,,,,,,,,,,,0
D10,0,1,0,1,1,0,976.6842105,999.4578313,853.6453202,1360.704846,1287.153846,1259.813953,1332.474747,1319.170732,1021.591837,,,,,,,,,,,,,,,,,,,,,,,,0
D11,1,1,1,1,0,0,252.0974359,428.3120567,277.1023256,469.933114,384.4031915,592.8240291,529.4700521,521.9905405,570.2095745,,,,,,,,,,,,,,,,,,,,,,,,0
D12,1,1,1,0,1,0,317.3728814,318.3006536,239.1144279,565.1032338,441.9893868,431.3108466,603.6625,575.9389952,464.4630045,,,,,,,,,,,,,,,,,,,,,,,,0
D13,1,1,0,1,1,0,263,233.6606061,268.6193182,322.7306818,343.2042411,364.6517341,367.1654229,348.6883886,361.9566832,,,,,,,,,,,,,,,,,,,,,,,,0
D14,0,1,1,1,1,0,112.9358289,161.5060976,141.9949749,188.7091121,214.400655,210.6793194,232.5467172,197.2855556,193.7768692,,,,,,,,,,,,,,,,,,,,,,,,0
D15,1,1,1,1,1,0,111.2358491,130.4101124,106.3589744,183.5965447,183.3204365,264.5402439,210.9747807,109.2946809,201.6326754,,,,,,,,,,,,,,,,,,,,,,,,0
D16,0,1,0,0,0,0,1745.619469,1586.184211,1885.195531,2384.235294,2159.788732,2148.363636,2411.212121,2334.556452,2198.595745,,,,,,,,,,,,,,,,,,,,,,,,0
E1,1,0,0,0,0,1,17430.22059,21642.8012,20847.44118,21732.42857,22833.20856,19373.38462,21665.28708,22146.62371,24847.90155,,,,,,,,,,,,,,,,,,,,,,,,0
E2,0,0,1,0,0,1,6376.404494,5816.969697,5209.52381,5002.932692,5731.516854,4864.162679,5464.661836,5560.369318,6931.593137,,,,,,,,,,,,,,,,,,,,,,,,0
E3,0,0,0,1,0,1,26603.96277,25515.43478,25631.45963,23408.85463,23747.78894,23845.98086,26216.12832,33924.82857,33310.07772,,,,,,,,,,,,,,,,,,,,,,,,0
E4,0,0,0,0,1,1,14801.08696,13926.92308,13844.44444,10540.61321,10389.77143,11307.1564,13207.58065,13500.87879,13041.68203,,,,,,,,,,,,,,,,,,,,,,,,0
E5,1,0,1,0,0,1,17391.08911,15910.17964,14745.16129,9532.202643,10592.44565,9139.471154,12179.57399,11849.09884,14022.85377,,,,,,,,,,,,,,,,,,,,,,,,0
E6,1,0,0,1,0,1,17093.58333,16066.76316,15786.32597,14879.86239,14115.58252,16924.34579,15256.12288,17518.59694,17551.98661,,,,,,,,,,,,,,,,,,,,,,,,0
E7,1,0,0,0,1,1,8221.463415,7201.052632,6796.648045,6010.740741,6374.210526,5700.972222,7300.184426,6112.294686,6260.635965,,,,,,,,,,,,,,,,,,,,,,,,0
E8,0,0,1,1,0,1,8488.151659,7840.178571,0,6175.145228,6205.875,0,6499.347015,6792.889344,0,,,,,,,,,,,,,,,,,,,,,,,,0
E9,0,0,1,0,1,1,1286.585366,917.8217822,1013.829787,739.025641,717.2685185,830.787037,669.0533981,679.8409091,628.3953488,,,,,,,,,,,,,,,,,,,,,,,,0
E10,0,0,0,1,1,1,11047.45763,9243.654822,9975.268817,6813.502304,5363.449782,6282.401747,9287.597087,8530.558036,6102.534884,,,,,,,,,,,,,,,,,,,,,,,,0
E11,1,0,1,1,0,1,19861.11111,17605.29101,19042.16867,13206.70103,12127.72727,11228.78788,13600,14521.90476,12172.30769,,,,,,,,,,,,,,,,,,,,,,,,0
E12,1,0,1,0,1,1,3598.863636,3257.591623,3299.019608,2377.605634,2632.619048,1932.421525,2930.258216,3250.829384,1824.327354,,,,,,,,,,,,,,,,,,,,,,,,0
E13,1,0,0,1,1,1,21233.33333,16560.97561,18152.74725,10096.93333,11279.86239,12264.43902,15482.55656,13690.4646,9131.394737,,,,,,,,,,,,,,,,,,,,,,,,0
E14,0,0,1,1,1,1,1377.894737,1383.815029,1677.52809,1328.590909,1434.263158,1427.488372,1390.464602,1364.393204,1227.735426,,,,,,,,,,,,,,,,,,,,,,,,0
E15,1,0,1,1,1,1,4770.810811,3686.516854,4895.953757,3628.831776,3139.648241,3541.019417,4213.229665,4143.472906,3904.00463,,,,,,,,,,,,,,,,,,,,,,,,0
E16,0,0,0,0,0,1,40886.01036,34090.35533,36542.58373,33497.74775,32149.27536,26662.02532,32114.53744,29377.35849,4708.196721,,,,,,,,,,,,,,,,,,,,,,,,0
F1,1,0,0,0,0,0,23022.40132,20626.98758,22749.45161,23412.48447,20491.99052,24085.4386,24629.21384,20936.36126,23014.38235,,,,,,,,,,,,,,,,,,,,,,,,0
F2,0,0,1,0,0,0,8662.213115,9445.173611,8804.786585,10987.41379,12808.39286,11614.03226,14695.50595,14416.63743,13891.39053,,,,,,,,,,,,,,,,,,,,,,,,0
F3,0,0,0,1,0,0,22367.7044,25341.54088,21880.47753,29701.25,22743.67021,23364.02844,34526.98758,29982.3743,30478.58247,,,,,,,,,,,,,,,,,,,,,,,,0
F4,0,0,0,0,1,0,8797.092391,9137.601156,9499.375,11306.79775,9926.157635,9889.669811,13955.29586,12437.60989,12650.225,,,,,,,,,,,,,,,,,,,,,,,,0
