Code,p233,p254,p271,p272,p306,p313,exp1,exp2,exp3,exp4,exp5,exp6,exp7,exp8,exp9,pte1,pte2,pte3,pte4,pte5,pte6,pte7,pte8,pte9,pte10,pte11,pte12,pte13,pte14,pte15,pte16,pte17,pte18,pte19,pte20,pte21,pte22,pte23,pte24
D1,1,1,0,0,0,0,222470.2194,190913.2948,220770.6422,153969.419,138095.8084,172612.5,154212.1212,161556.9231,197696.793,,,,,,,,,,,,,,,,,,,,,,,,0
D2,0,1,1,0,0,0,120640,98226.53722,118055.5556,102344.3709,90628.57143,122851.0638,113282.392,104166.6667,127952.862,,,,,,,,,,,,,,,,,,,,,,,,0
D3,0,1,0,1,0,0,244037.1517,171480.3625,190928.3489,210273.0159,186460.6061,189361.9632,216940.0631,202474.026,194912.6761,,,,,,,,,,,,,,,,,,,,,,,,0
D4,0,1,0,0,1,0,23312.32092,22282.48588,24177.77778,16433.33333,22576.08696,25678.87324,16921.78771,20255.68182,23205.55556,,,,,,,,,,,,,,,,,,,,,,,,0
D5,1,1,1,0,0,0,251074.9186,165546.0123,165389.7281,155119.7411,122638.5542,142782.0513,199777.7778,166498.4802,173762.1951,,,,,,,,,,,,,,,,,,,,,,,,0
D6,1,1,0,1,0,0,333714.2857,273341.6149,213928.5714,205196.2617,195766.8712,184111.8012,274689.6552,242391.0256,216173.1343,,,,,,,,,,,,,,,,,,,,,,,,0
D7,1,1,0,0,1,0,64065.93407,65011.23596,61495.65217,57847.05882,66154.69613,75480.82596,63778.40909,79825.8427,79604.45682,,,,,,,,,,,,,,,,,,,,,,,,0
D8,0,1,1,1,0,0,184494.8454,129682.8479,126921.0526,0,109941.7476,137337.6623,132033.7838,130699.67,154199.3769,,,,,,,,,,,,,,,,,,,,,,,,0
D9,0,1,1,0,1,0,11340.83333,10015.71429,8621.293375,8531.188119,7165.03012,8400.355987,12462.85953,11029.70769,10283.79688,,,,,,,,,,,,,,,,,,,,,,,,0
D10,0,1,0,1,1,0,36266.66667,23210.19108,47852.30769,32614.42006,30831.3253,41119.49686,38282.9582,34948.32827,36963.19018,,,,,,,,,,,,,,,,,,,,,,,,0
D11,1,1,1,1,0,0,179495.1456,177569.1318,279948.5531,175029.1262,136635.514,169890.6752,180689.8734,205141.9753,185795.0311,,,,,,,,,,,,,,,,,,,,,,,,0
D12,1,1,1,0,1,0,189215.1899,155381.7035,276789.644,191231.7073,155964.0719,172243.5897,235391.0256,217854.1033,178326.284,,,,,,,,,,,,,,,,,,,,,,,,0
D13,1,1,0,1,1,0,100195.9654,64000,162066.0661,139522.3881,88378.2235,113182.9268,122482.1429,105615.1603,118000,,,,,,,,,,,,,,,,,,,,,,,,0
D14,0,1,1,1,1,0,99627.00965,81933.53474,174120.6349,97224.24242,89570.20057,115593.6508,93355.22388,104200,107434.7826,,,,,,,,,,,,,,,,,,,,,,,,0
D15,1,1,1,1,1,0,298627.566,248982.0359,0,330662.6506,226858.7571,288876.5432,334636.6366,333478.2609,307576.8116,,,,,,,,,,,,,,,,,,,,,,,,0
D16,0,1,0,0,0,0,128573.4767,97809.18728,192944.2623,138505.1903,92367.21311,127784.127,115476.7025,110812.5,93993.63057,,,,,,,,,,,,,,,,,,,,,,,,0
E1,1,0,0,0,0,1,2919.140212,2590.014006,2794.319444,3396.058824,2142.493225,2481.314286,3407.108108,2565.750708,2769.067797,,,,,,,,,,,,,,,,,,,,,,,,0
E2,0,0,1,0,0,1,9532.090301,8048.738019,9498.45515,6920.722022,5202.960526,6096.271186,8864.659864,7822.307692,9655.017422,,,,,,,,,,,,,,,,,,,,,,,,0
E3,0,0,0,1,0,1,3123.459016,3340.910714,2520.420561,2899.566787,2620.4947,2031.290323,2754.576803,3284.265233,2128.652695,,,,,,,,,,,,,,,,,,,,,,,,0
E4,0,0,0,0,1,1,427.8318584,451.002994,452.936747,431.8394649,416.625,424.0655738,395.753012,428.7267081,456.25387,,,,,,,,,,,,,,,,,,,,,,,,0
E5,1,0,1,0,0,1,5036.215805,5368.973214,4038.915493,4262.466667,4128.974359,3157.595308,4639.969136,5291.414791,3910.345821,,,,,,,,,,,,,,,,,,,,,,,,0
